c_l_i_n_i_c___n_a_m_e,a_i_l_m_e_n_t,m_o_n_t_h___n_a_m_e,s_e_a_s_o_n,s_e_v_e_r_i_t_y,p_a_t_i_e_n_t___i_d,n_u_m___m_e_d_i_c_a_t_i_o_n_s,a_g_e,w_a_i_t___t_i_m_e___m_i_n_u_t_e_s,i_s___s_e_v_e_r_e,i_s___f_o_l_l_o_w___u_p
Central County Hospital,Arthritis,August,Cool/Dry,Mild,36,91,35.27777777777778,24.305555555555557,0,2
Central County Hospital,Arthritis,August,Cool/Dry,Moderate,25,62,32.2,32.12,0,2
Central County Hospital,Arthritis,August,Cool/Dry,Severe,12,32,24.166666666666668,45.416666666666664,12,0
Central County Hospital,Arthritis,July,Long Rains,Mild,35,101,38.142857142857146,32.82857142857143,0,4
Central County Hospital,Arthritis,July,Long Rains,Moderate,36,92,26.944444444444443,30.27777777777778,0,3
Central County Hospital,Arthritis,July,Long Rains,Severe,15,43,36.333333333333336,33.46666666666667,15,1
Central County Hospital,Arthritis,June,Long Rains,Mild,41,101,30.853658536585368,26.341463414634145,0,3
Central County Hospital,Arthritis,June,Long Rains,Moderate,35,88,33.857142857142854,32.857142857142854,0,1
Central County Hospital,Arthritis,June,Long Rains,Severe,9,24,22.77777777777778,29.88888888888889,9,0
Central County Hospital,Arthritis,November,Short Rains,Mild,44,115,33.40909090909091,29.045454545454547,0,1
Central County Hospital,Arthritis,November,Short Rains,Moderate,37,95,37.16216216216216,29.864864864864863,0,0
Central County Hospital,Arthritis,November,Short Rains,Severe,13,35,36.53846153846154,27.0,13,0
Central County Hospital,Arthritis,October,Cool/Dry,Mild,38,97,37.10526315789474,27.657894736842106,0,2
Central County Hospital,Arthritis,October,Cool/Dry,Moderate,34,82,31.470588235294116,28.823529411764707,0,3
Central County Hospital,Arthritis,October,Cool/Dry,Severe,11,29,33.18181818181818,28.272727272727273,11,3
Central County Hospital,Arthritis,September,Cool/Dry,Mild,30,89,36.666666666666664,25.766666666666666,0,1
Central County Hospital,Arthritis,September,Cool/Dry,Moderate,31,82,39.193548387096776,31.903225806451612,0,4
Central County Hospital,Arthritis,September,Cool/Dry,Severe,15,30,33.666666666666664,34.8,15,0
Central County Hospital,Asthma,August,Cool/Dry,Mild,60,156,32.666666666666664,30.8,0,3
Central County Hospital,Asthma,August,Cool/Dry,Moderate,41,113,35.48780487804878,28.609756097560975,0,3
